Postcode,NUTS1 region
AB10,Scotland
AB11,Scotland
AB12,Scotland
AB13,Scotland
AB14,Scotland
AB15,Scotland
AB16,Scotland
AB21,Scotland
AB22,Scotland
AB23,Scotland
AB24,Scotland
AB25,Scotland
AB30,Scotland
AB31,Scotland
AB32,Scotland
AB33,Scotland
AB34,Scotland
AB35,Scotland
AB36,Scotland
AB37,Scotland
AB38,Scotland
AB39,Scotland
AB41,Scotland
AB42,Scotland
AB43,Scotland
AB44,Scotland
AB45,Scotland
AB51,Scotland
AB52,Scotland
AB53,Scotland
AB54,Scotland
AB55,Scotland
AB56,Scotland
AB99,Scotland
AL1,East of England
AL10,East of England
AL2,East of England
AL3,East of England
AL4,East of England
AL5,East of England
AL6,East of England
AL7,East of England
AL8,East of England
AL9,East of England
B1,West Midlands (England)
B10,West Midlands (England)
B11,West Midlands (England)
B12,West Midlands (England)
B13,West Midlands (England)
B14,West Midlands (England)
B15,West Midlands (England)
B16,West Midlands (England)
B17,West Midlands (England)
B18,West Midlands (England)
B19,West Midlands (England)
B2,West Midlands (England)
B20,West Midlands (England)
B21,West Midlands (England)
B23,West Midlands (England)
B24,West Midlands (England)
B25,West Midlands (England)
B26,West Midlands (England)
B27,West Midlands (England)
B28,West Midlands (England)
B29,West Midlands (England)
B3,West Midlands (England)
B30,West Midlands (England)
B31,West Midlands (England)
B32,West Midlands (England)
B33,West Midlands (England)
B34,West Midlands (England)
B35,West Midlands (England)
B36,West Midlands (England)
B37,West Midlands (England)
B38,West Midlands (England)
B4,West Midlands (England)
B40,West Midlands (England)
B42,West Midlands (England)
B43,West Midlands (England)
B44,West Midlands (England)
B45,West Midlands (England)
B46,West Midlands (England)
B47,West Midlands (England)
B48,West Midlands (England)
B49,West Midlands (England)
B5,West Midlands (England)
B50,West Midlands (England)
B6,West Midlands (England)
B62,West Midlands (England)
B63,West Midlands (England)
B64,West Midlands (England)
B65,West Midlands (England)
B66,West Midlands (England)
B67,West Midlands (England)
B68,West Midlands (England)
B69,West Midlands (England)
B7,West Midlands (England)
B70,West Midlands (England)
B71,West Midlands (England)
B72,West Midlands (England)
B73,West Midlands (England)
B74,West Midlands (England)
B75,West Midlands (England)
B76,West Midlands (England)
B77,West Midlands (England)
B78,West Midlands (England)
B79,East Midlands (England)
B8,West Midlands (England)
B80,West Midlands (England)
B9,West Midlands (England)
B90,West Midlands (England)
B91,West Midlands (England)
B92,West Midlands (England)
B93,West Midlands (England)
B94,West Midlands (England)
B95,West Midlands (England)
B96,West Midlands (England)
B97,West Midlands (England)
B98,West Midlands (England)
B99,West Midlands (England)
BA1,South West (England)
BA10,South West (England)
BA11,South West (England)
BA12,South West (England)
BA13,South West (England)
BA14,South West (England)
BA15,South West (England)
BA16,South West (England)
BA2,South West (England)
BA20,South West (England)
BA21,South West (England)
BA22,South West (England)
BA3,South West (England)
BA4,South West (England)
BA5,South West (England)
BA6,South West (England)
BA7,South West (England)
BA8,South West (England)
BA9,South West (England)
BB1,North West (England)
BB10,North West (England)
BB11,North West (England)
BB12,North West (England)
BB18,North West (England)
BB2,North West (England)
BB3,North West (England)
BB4,North West (England)
BB5,North West (England)
BB6,North West (England)
BB7,North West (England)
BB8,North West (England)
BB9,North West (England)
BB94,North West (England)
BD1,Yorkshire and The Humber
BD10,Yorkshire and The Humber
BD11,Yorkshire and The Humber
BD12,Yorkshire and The Humber
BD13,Yorkshire and The Humber
BD14,Yorkshire and The Humber
BD15,Yorkshire and The Humber
BD16,Yorkshire and The Humber
BD17,Yorkshire and The Humber
BD18,Yorkshire and The Humber
BD19,Yorkshire and The Humber
BD2,Yorkshire and The Humber
BD20,Yorkshire and The Humber
BD21,Yorkshire and The Humber
BD22,Yorkshire and The Humber
BD23,North West (England)
BD24,Yorkshire and The Humber
BD3,Yorkshire and The Humber
BD4,Yorkshire and The Humber
BD5,Yorkshire and The Humber
BD6,Yorkshire and The Humber
BD7,Yorkshire and The Humber
BD8,Yorkshire and The Humber
BD9,Yorkshire and The Humber
BD97,Yorkshire and The Humber
BD98,Yorkshire and The Humber
BD99,Yorkshire and The Humber
BH1,South West (England)
BH10,South West (England)
BH11,South West (England)
BH12,South West (England)
BH13,South West (England)
BH14,South West (England)
BH15,South West (England)
BH16,South West (England)
BH17,South West (England)
BH18,South West (England)
BH19,South West (England)
BH2,South West (England)
BH20,South West (England)
BH21,South West (England)
BH22,South West (England)
BH23,South East (England)
BH24,South East (England)
BH25,South East (England)
BH3,South West (England)
BH31,South East (England)
BH4,South West (England)
BH5,South West (England)
BH6,South West (England)
BH7,South West (England)
BH8,South West (England)
BH9,South West (England)
BL0,North West (England)
BL1,North West (England)
BL11,North West (England)
BL2,North West (England)
BL3,North West (England)
BL4,North West (England)
BL5,North West (England)
BL6,North West (England)
BL7,North West (England)
BL78,North West (England)
BL8,North West (England)
BL9,North West (England)
BN1,South East (England)
BN10,South East (England)
BN18,South East (England)
BN2,South East (England)
BN20,South East (England)
BN21,South East (England)
BN22,South East (England)
BN23,South East (England)
BN24,South East (England)
BN25,South East (England)
BN26,South East (England)
BN27,South East (England)
BN3,South East (England)
BN41,South East (England)
BN42,South East (England)
BN43,South East (England)
BN44,South East (England)
BN45,South East (England)
BN5,South East (England)
BN50,South East (England)
BN51,South East (England)
BN52,South East (England)
BN6,South East (England)
BN7,South East (England)
BN8,South East (England)
BN88,South East (England)
BN9,South East (England)
BR1,London
BR2,London
BR3,London
BR4,London
BR5,London
BR6,London
BR7,London
BR8,London
BS1,South West (England)
BS10,South West (England)
BS11,South West (England)
BS13,South West (England)
BS14,South West (England)
BS15,South West (England)
BS16,South West (England)
BS2,South West (England)
BS20,South West (England)
BS21,South West (England)
BS22,South West (England)
BS23,South West (England)
BS24,South West (England)
BS25,South West (England)
BS26,South West (England)
BS27,South West (England)
BS28,South West (England)
BS29,South West (England)
BS3,South West (England)
BS30,South West (England)
BS31,South West (England)
BS32,South West (England)
BS34,South West (England)
BS35,South West (England)
BS36,South West (England)
BS37,South West (England)
BS39,South West (England)
BS4,South West (England)
BS40,South West (England)
BS41,South West (England)
BS48,South West (England)
BS49,South West (England)
BS5,South West (England)
BS6,South West (England)
BS7,South West (England)
BS8,South West (England)
BS9,South West (England)
BS98,South West (England)
BS99,South West (England)
CA1,North West (England)
CA10,North West (England)
CA11,North West (England)
CA12,North West (England)
CA13,North West (England)
CA14,North West (England)
CA15,North West (England)
CA16,North West (England)
CA17,North West (England)
CA18,North West (England)
CA19,North West (England)
CA2,North West (England)
CA20,North West (England)
CA21,North West (England)
CA22,North West (England)
CA23,North West (England)
CA24,North West (England)
CA25,North West (England)
CA26,North West (England)
CA27,North West (England)
CA28,North West (England)
CA3,North West (England)
CA4,North West (England)
CA5,North West (England)
CA6,North West (England)
CA7,North West (England)
CA8,North East (England)
CA9,North East (England)
CA95,North West (England)
CA99,North West (England)
CB1,East of England
CB10,East of England
CB11,East of England
CB2,East of England
CB21,East of England
CB22,East of England
CB23,East of England
CB24,East of England
CB25,East of England
CB3,East of England
CB4,East of England
CB5,East of England
CB6,East of England
CB7,East of England
CB8,East of England
CB9,East of England
CF10,Wales
CF11,Wales
CF14,Wales
CF15,Wales
CF23,Wales
CF24,Wales
CF3,Wales
CF30,Wales
CF31,Wales
CF32,Wales
CF33,Wales
CF34,Wales
CF35,Wales
CF36,Wales
CF37,Wales
CF38,Wales
CF39,Wales
CF40,Wales
CF41,Wales
CF42,Wales
CF43,Wales
CF44,Wales
CF45,Wales
CF46,Wales
CF47,Wales
CF48,Wales
CF5,Wales
CF61,Wales
CF62,Wales
CF63,Wales
CF64,Wales
CF71,Wales
CF72,Wales
CF81,Wales
CF82,Wales
CF83,Wales
CF91,Wales
CF95,Wales
CF99,Wales
CH1,North West (England)
CH2,North West (England)
CH25,North West (England)
CH26,North West (England)
CH27,North West (England)
CH28,North West (England)
CH29,North West (England)
CH3,North West (England)
CH30,North West (England)
CH31,North West (England)
CH32,North West (England)
CH33,North West (England)
CH34,North West (England)
CH4,North West (England)
CH41,North West (England)
CH42,North West (England)
CH43,North West (England)
CH44,North West (England)
CH45,North West (England)
CH46,North West (England)
CH47,North West (England)
CH48,North West (England)
CH49,North West (England)
CH60,North West (England)
CH61,North West (England)
CH62,North West (England)
CH63,North West (England)
CH64,North West (England)
CH65,North West (England)
CH66,North West (England)
CH7,Wales
CH70,North West (England)
CH8,Wales
CH88,North West (England)
CH99,North West (England)
CM0,East of England
CM1,East of England
CM11,East of England
CM12,East of England
CM13,London
CM14,London
CM15,East of England
CM16,East of England
CM17,East of England
CM18,East of England
CM19,East of England
CM2,East of England
CM20,East of England
CM21,East of England
CM22,East of England
CM23,East of England
CM24,East of England
CM3,East of England
CM4,East of England
CM5,East of England
CM6,East of England
CM7,East of England
CM77,East of England
CM8,East of England
CM9,East of England
CM92,East of England
CM98,East of England
CM99,East of England
CO1,East of England
CO10,East of England
CO11,East of England
CO12,East of England
CO13,East of England
CO14,East of England
CO15,East of England
CO16,East of England
CO2,East of England
CO3,East of England
CO4,East of England
CO5,East of England
CO6,East of England
CO7,East of England
CO8,East of England
CO9,East of England
CR0,London
CR2,London
CR3,South East (England)
CR4,London
CR5,South East (England)
CR6,South East (England)
CR7,London
CR8,South East (England)
CR9,London
CR90,London
CT4,South East (England)
CV1,West Midlands (England)
CV10,East Midlands (England)
CV11,East Midlands (England)
CV12,West Midlands (England)
CV13,East Midlands (England)
CV2,West Midlands (England)
CV21,West Midlands (England)
CV22,West Midlands (England)
CV23,West Midlands (England)
CV3,West Midlands (England)
CV31,West Midlands (England)
CV32,West Midlands (England)
CV33,West Midlands (England)
CV34,West Midlands (England)
CV35,West Midlands (England)
CV36,West Midlands (England)
CV37,West Midlands (England)
CV4,West Midlands (England)
CV47,West Midlands (England)
CV5,West Midlands (England)
CV6,West Midlands (England)
CV7,West Midlands (England)
